| FK6  |   HIP  |        Name        |      alpha      |       delta      |     mu    |     mu    |    T   | epsil. | epsil. |    T   | epsil. | epsil. |    p   | epsil. |  K  |    v   |    m   |  K  |   K  |  K  |  K  |                                           |                                           |                                                      |                                                      |                                   |                                   |                                            |                                   |                                   |                                            |                          |                          |  Delta   |  Delta   |  Delta   |  Delta   | epsilon  | epsilon  | epsilon  | epsilon  |  K  |    F   |    F   |    F   |    F   | No. |
| No.  |   No.  |                    |      (SI)       |       (SI)       |   alpha*  |   delta   |  alpha | alpha* |   mu   | delta  | delta  |   mu   |   res  |    p   |  p  |   rad  |    V   |  m  |  bin |Delta| ae  |         Delta alpha*  [mas]  2000         |         Delta delta   [mas]  2000         |           Delta mu alpha*  [mas/yr]   2000           |           Delta mu delta   [mas/yr]   2000           |              T alpha              |       epsilon alpha*  [mas]       |        epsilon mu alpha*   [mas/yr]        |              T delta              |       epsilon delta   [mas]       |        epsilon mu delta    [mas/yr]        |         p  [mas]         |     epsilon p   [mas]    |  alpha*  |  delta   |    mu    |    mu    |  alpha*  |  delta   |    mu    |    mu    | sys |   FH   |   0H   | 0(GC)H |   0F   | of  |
|      |        |                    |      2000       |       2000       |    (SI)   |    (SI)   |  (SI)  |  (SI)  | alpha* |  (SI)  |  (SI)  | delta  |        |   res  |     |        |        |     |      | mu  |     |                                           |                                           |                                                      |                                                      |                                   |                                   |                                            |                                   |                                   |                                            |                          |                          |   sys    |   sys    |  alpha*  |  delta   |   sys    |   sys    |  alpha*  |  delta   |     |        |        |        |        | no- |
|      |        |                    |                 |                  |    2000   |    2000   |        |        |  (SI)  |        |        |  (SI)  |        |        |     |        |        |     |      |     |     |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |          |          |   sys    |   sys    |          |          |   sys    |   sys    |     |        |        |        |        | te  |
|      |        |                    |                 |                  |           |           |        |        |        |        |        |        |        |        |     |        |        |     |      |     |     |    LTP   |    STP   |    HIP   |    FK5   |    LTP   |    STP   |    HIP   |    FK5   |    LTP   |    STP   |    HIP   |    FK5   |    my0   |    LTP   |    STP   |    HIP   |    FK5   |    my0   |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   my0  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   my0  |   SI   |   STP  |   HIP  |   SI   |   STP  |   HIP  |          |          |          |          |          |          |          |          |     |        |        |        |        |     |
|      |        |                    |  h  m   s       |    o  '   "      |   mas/yr  |   mas/yr  |        |   mas  | mas/yr |        |   mas  | mas/yr |   mas  |   mas  |     |  km/s  |        |     |      |     |     |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |   mas    |   mas    |  mas/yr  |  mas/yr  |   mas    |    mas   |  mas/yr  |  mas/yr  |     |        |        |        |        |     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  905 |    301 | 2 Cet              |  0  3 44.388192 |  -17 20  9.56681 | +   25.84 | -    8.55 |  91.45 |   0.82 |   0.27 |  91.42 |   0.40 |   0.25 |  14.31 |   0.92 |  H  | -  5.0 |   4.55 |     |  29  |  2  |     | -   2.96 | +  18.86 | +  23.42 | -  16.21 | -   5.31 | +  10.57 | +  11.04 | -   7.53 | -   0.18 | +   2.19 | +   2.73 | -   0.38 | -   0.11 | -   0.68 | +   1.22 | +   1.27 | -   0.74 | -   0.71 |  72.17 |  91.58 |  91.58 |  42.46 |  10.41 |   0.82 |   0.82 |  16.63 |   0.33 |   0.98 |   1.09 |   0.51 |   0.34 |  73.39 |  91.46 |  91.46 |  36.51 |  10.94 |   0.41 |   0.41 |  19.15 |   0.35 |   0.41 |   0.42 |   0.63 |   0.35 |  14.14 |  14.30 |  14.31 |   0.92 |   0.92 |   0.92 | +  11.38 | -  25.27 | +   0.89 | +   0.19 |     8.28 |     5.96 |     0.25 |     0.21 |  1  |   3.80 |   4.53 |   4.44 |   0.45 |   2 |
| 1001 |    377 | 45 G. Tuc          |  0  4 41.308247 |  -71 26 12.80871 | +   30.03 | -   13.56 |  91.20 |   0.45 |   0.42 |  91.28 |   0.41 |   0.36 |   5.70 |   0.53 |  H  | -  3.0 |   5.59 |     |  18  |     |     | +   2.51 | -   0.19 | -   0.27 | +  65.05 | +   0.54 | -   0.44 | -   0.52 | -  29.14 | +   0.07 | -   0.02 | -   0.03 | +   1.22 | -   0.67 | +   0.14 | -   0.05 | -   0.06 | -   0.26 | +   0.42 |  88.68 |  91.21 |  91.20 |  62.33 |   8.63 |   0.45 |   0.45 |  28.96 |   0.72 |   0.48 |   0.50 |   1.27 |   1.00 |  88.79 |  91.28 |  91.28 |  51.95 |   8.75 |   0.41 |   0.41 |  34.98 |   0.67 |   0.40 |   0.41 |   1.27 |   0.89 |   5.70 |   5.70 |   5.70 |   0.53 |   0.53 |   0.53 | +  56.16 | +  27.20 | -   3.74 | -   0.58 |    13.04 |     8.20 |     0.41 |     0.32 |  1  |   0.93 |   0.76 |   0.16 |   1.25 |   3 |
| 1003 |    560 | 9 G. Cet           |  0  6 50.086034 |  -23  6 27.13707 | +   96.93 | -   46.33 |  91.27 |   0.70 |   0.46 |  91.40 |   0.41 |   0.35 |  25.59 |   0.75 |  H  | +  3.1 |   6.19 |     |  29  |  2  |     | +  16.03 | +   2.95 | +   3.12 | + 125.41 | +   9.85 | -   6.00 | -   6.51 | -  21.29 | +   0.12 | +   0.35 | +   0.37 | +   2.24 | -   1.31 | +   1.56 | -   0.70 | -   0.76 | +   1.17 | +   2.00 |  80.68 |  91.30 |  91.30 |  61.40 |  12.65 |   0.70 |   0.70 |  21.25 |   0.67 |   0.71 |   0.73 |   1.09 |   0.71 |  82.56 |  91.41 |  91.41 |  53.63 |  13.79 |   0.41 |   0.41 |  28.69 |   0.68 |   0.42 |   0.42 |   1.19 |   0.76 |  25.71 |  25.60 |  25.59 |   0.75 |   0.75 |   0.75 | +   3.01 | -  24.68 | +   1.27 | +   0.06 |     8.29 |     6.21 |     0.26 |     0.20 |  1  |   2.09 |   3.59 |   0.80 |   2.78 |   4 |
|    4 |    841 | 22 And             |  0 10 19.246497 |  +46  4 20.18089 | +    5.31 | +    0.51 |  91.43 |   0.39 |   0.26 |  90.93 |   0.37 |   0.28 |   3.24 |   0.68 |  H  | -  5.4 |   5.01 |     |  11  |  1  |  3  | +   3.50 | -   5.68 | -   6.88 | +   8.52 | +   0.14 | -   2.37 | -   2.84 | -  27.37 | +   0.43 | -   0.66 | -   0.80 | +   0.58 | +   0.48 | +   0.18 | -   0.25 | -   0.30 | -   0.16 | +   0.44 |  85.28 |  91.46 |  91.46 |  56.07 |   6.28 |   0.40 |   0.40 |  15.21 |   0.34 |   0.40 |   0.42 |   0.53 |   0.43 |  86.21 |  90.95 |  90.95 |  47.67 |   6.49 |   0.38 |   0.38 |  19.14 |   0.36 |   0.41 |   0.44 |   0.64 |   0.44 |   3.10 |   3.22 |   3.24 |   0.67 |   0.68 |   0.68 | +   9.19 | +  59.01 | +   1.81 | -   0.05 |     9.85 |     6.50 |     0.27 |     0.21 |  1  |   2.05 |   2.48 |   0.66 |   0.79 |     |
|    6 |    950 | theta Scl          |  0 11 44.009505 |  -35  7 59.21268 | +  170.27 | +  115.81 |  91.55 |   0.48 |   0.45 |  91.34 |   0.42 |   0.38 |  45.85 |   0.66 |  H  | -  2.2 |   5.24 |     |  28  |  2  |     | +   8.67 | -   9.75 | -  10.77 | +  22.97 | +  29.11 | -  16.52 | -  17.82 | + 135.62 | +   0.91 | -   1.14 | -   1.26 | +   1.21 | +   0.83 | +   2.65 | -   1.91 | -   2.06 | +   4.23 | +   2.06 |  82.32 |  91.56 |  91.56 |  57.75 |  14.70 |   0.48 |   0.48 |  28.46 |   0.69 |   0.61 |   0.62 |   1.03 |   0.84 |  81.39 |  91.35 |  91.35 |  45.78 |  15.19 |   0.42 |   0.42 |  32.63 |   0.63 |   0.49 |   0.50 |   1.05 |   0.72 |  45.97 |  45.86 |  45.85 |   0.66 |   0.66 |   0.66 | -  55.37 | -  20.08 | +   1.73 | -   1.44 |     8.73 |     6.31 |     0.27 |     0.22 |  1  |   5.72 |   5.04 |   6.59 |   1.73 |   5 |
| 1655 |   1007 | o Oct              |  0 12 33.970040 |  -88 21 46.33399 | +   14.47 | +    1.92 |  91.34 |   0.54 |   0.40 |  91.12 |   0.48 |   0.34 |   1.73 |   0.60 |  H  | +  7.7 |   7.22 |     |  21  |  2  |     | +   2.01 | -   2.44 | -   4.66 | -  51.21 | -   2.98 | +   3.96 | +   6.34 | -  52.68 | +   0.28 | -   0.29 | -   0.55 | -   0.12 | +   0.77 | -   0.36 | +   0.45 | +   0.72 | -   1.13 | -   0.46 |  90.20 |  91.35 |  91.35 |  34.33 |   5.03 |   0.54 |   0.54 |  36.41 |   0.48 |   0.52 |   0.61 |   1.03 |   0.64 |  89.68 |  91.13 |  91.13 |  27.45 |   5.01 |   0.48 |   0.48 |  32.22 |   0.42 |   0.46 |   0.52 |   1.02 |   0.51 |   1.95 |   1.82 |   1.73 |   0.59 |   0.60 |   0.60 | +  47.01 | -  22.04 | -   0.29 | -   2.99 |    20.32 |    14.88 |     0.69 |     0.54 |  1  |   1.67 |   2.27 |   4.29 |   0.94 |     |
| 1004 |   1168 | chi Peg            |  0 14 36.164743 |  +20 12 24.12496 | +   91.10 | +    1.72 |  91.15 |   0.61 |   0.39 |  91.24 |   0.45 |   0.37 |  10.01 |   0.77 |  H  | - 45.8 |   4.79 |  1  |  11  |  1  |  3  | +   7.83 | -   3.28 | -   3.89 | +  44.45 | -   4.82 | +   1.32 | +   1.41 | -  29.87 | +   0.37 | -   0.37 | -   0.44 | +   1.16 | -   0.11 | -   0.32 | +   0.15 | +   0.16 | -   0.77 | -   0.05 |  81.70 |  91.20 |  91.20 |  64.24 |   9.35 |   0.61 |   0.61 |  15.73 |   0.53 |   0.64 |   0.68 |   0.84 |   0.58 |  83.66 |  91.26 |  91.26 |  59.07 |  10.15 |   0.45 |   0.45 |  20.91 |   0.54 |   0.52 |   0.54 |   0.86 |   0.65 |   9.91 |  10.00 |  10.01 |   0.76 |   0.77 |   0.77 | -  17.42 | +  12.98 | +   0.65 | -   0.95 |     8.48 |     5.78 |     0.26 |     0.20 |  1  |   1.85 |   0.49 |   0.86 |   1.41 |     |
| 1005 |   1473 | sigma And          |  0 18 19.657833 |  +36 47  6.80900 | -   65.23 | -   42.19 |  91.08 |   0.51 |   0.34 |  91.21 |   0.42 |   0.30 |  23.11 |   0.68 |  H  | -  8.0 |   4.51 |     |  39  |     |     | +   7.45 | -  10.45 | -  11.34 | +  18.08 | +  13.59 | -   2.17 | -   2.42 | +  97.47 | +   0.70 | -   1.18 | -   1.28 | +   0.93 | +   0.60 | +   0.24 | -   0.26 | -   0.29 | +   1.46 | -   0.60 |  77.06 |  91.12 |  91.12 |  61.31 |  11.15 |   0.51 |   0.51 |  16.20 |   0.50 |   0.56 |   0.57 |   0.71 |   0.54 |  77.66 |  91.25 |  91.25 |  50.19 |  12.57 |   0.42 |   0.42 |  21.85 |   0.49 |   0.42 |   0.43 |   0.77 |   0.53 |  23.03 |  23.11 |  23.11 |   0.67 |   0.68 |   0.68 | +  17.79 | +  37.31 | +   1.23 | -   0.47 |     8.85 |     6.05 |     0.26 |     0.22 |  1  |   3.03 |   2.50 |   1.01 |   2.23 |   6 |
| 1006 |   1493 | Pi 0 h 38 And      |  0 18 38.256563 |  +31 31  2.00764 | +   56.74 | -    3.91 |  91.02 |   0.62 |   0.38 |  90.98 |   0.37 |   0.32 |   6.00 |   0.77 |  H  | -  5.3 |   5.88 |     |  21  |  2  |     | -   0.69 | +   9.31 | +  11.87 | +  18.03 | -  11.18 | +   7.45 | +   8.87 | -  50.54 | -   0.39 | +   1.06 | +   1.35 | -   0.17 | -   0.81 | -   1.24 | +   0.84 | +   1.00 | -   2.07 | -   1.17 |  84.51 |  91.06 |  91.06 |  60.15 |   8.21 |   0.62 |   0.62 |  17.67 |   0.47 |   0.62 |   0.67 |   0.77 |   0.57 |  85.90 |  90.99 |  90.99 |  55.58 |   8.54 |   0.37 |   0.38 |  22.07 |   0.51 |   0.40 |   0.41 |   0.89 |   0.62 |   5.89 |   5.99 |   6.00 |   0.76 |   0.77 |   0.77 | +  21.41 | +  29.21 | +   1.10 | -   0.52 |     8.23 |     6.68 |     0.28 |     0.20 |  1  |   3.44 |   3.76 |   3.76 |   1.06 |     |
|    9 |   1562 | iota Cet           |  0 19 25.674749 |  - 8 49 26.10549 | -   14.04 | -   36.49 |  91.27 |   0.72 |   0.23 |  91.27 |   0.43 |   0.22 |  11.26 |   0.73 |  H  | + 18.6 |   3.56 |  1  |  25  |  2  |     | -  13.62 | -   2.73 | -   2.90 | -  74.20 | +   1.87 | -  11.13 | -  11.74 | -   9.92 | -   0.15 | -   0.31 | -   0.33 | -   0.94 | +   0.45 | +   0.45 | -   1.28 | -   1.35 | +   0.34 | +   0.56 |  70.66 |  91.39 |  91.39 |  43.93 |   9.17 |   0.72 |   0.72 |  13.89 |   0.29 |   0.71 |   0.76 |   0.45 |   0.29 |  71.90 |  91.30 |  91.30 |  32.95 |   9.96 |   0.43 |   0.43 |  17.29 |   0.29 |   0.41 |   0.42 |   0.51 |   0.30 |  11.38 |  11.27 |  11.26 |   0.73 |   0.73 |   0.73 | +   2.38 | -  27.12 | +   1.20 | +   0.05 |     7.09 |     5.84 |     0.26 |     0.18 |  1  |   2.64 |   3.86 |   3.94 |   2.61 |   7 |
