| FK6  |   HIP  |        Name        |      alpha      |       delta      |     mu    |     mu    |    T   | epsil. | epsil. |    T   | epsil. | epsil. |    p   | epsil. |  K  |    v   |    m   |  K  |   K  |  K  |  K  |                                           |                                           |                                                      |                                                      |                                   |                                   |                                            |                                   |                                   |                                            |                          |                          |  Delta   |  Delta   |  Delta   |  Delta   | epsilon  | epsilon  | epsilon  | epsilon  |  K  |    F   |    F   |    F   |    F   | No. |
| No.  |   No.  |                    |      (SI)       |       (SI)       |   alpha*  |   delta   |  alpha | alpha* |   mu   | delta  | delta  |   mu   |   res  |    p   |  p  |   rad  |    V   |  m  |  bin |Delta| ae  |         Delta alpha*  [mas]  2000         |         Delta delta   [mas]  2000         |           Delta mu alpha*  [mas/yr]   2000           |           Delta mu delta   [mas/yr]   2000           |              T alpha              |       epsilon alpha*  [mas]       |        epsilon mu alpha*   [mas/yr]        |              T delta              |       epsilon delta   [mas]       |        epsilon mu delta    [mas/yr]        |         p  [mas]         |     epsilon p   [mas]    |  alpha*  |  delta   |    mu    |    mu    |  alpha*  |  delta   |    mu    |    mu    | sys |   FH   |   0H   | 0(GC)H |   0F   | of  |
|      |        |                    |      2000       |       2000       |    (SI)   |    (SI)   |  (SI)  |  (SI)  | alpha* |  (SI)  |  (SI)  | delta  |        |   res  |     |        |        |     |      | mu  |     |                                           |                                           |                                                      |                                                      |                                   |                                   |                                            |                                   |                                   |                                            |                          |                          |   sys    |   sys    |  alpha*  |  delta   |   sys    |   sys    |  alpha*  |  delta   |     |        |        |        |        | no- |
|      |        |                    |                 |                  |    2000   |    2000   |        |        |  (SI)  |        |        |  (SI)  |        |        |     |        |        |     |      |     |     |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |          |          |   sys    |   sys    |          |          |   sys    |   sys    |     |        |        |        |        | te  |
|      |        |                    |                 |                  |           |           |        |        |        |        |        |        |        |        |     |        |        |     |      |     |     |    LTP   |    STP   |    HIP   |    FK5   |    LTP   |    STP   |    HIP   |    FK5   |    LTP   |    STP   |    HIP   |    FK5   |    my0   |    LTP   |    STP   |    HIP   |    FK5   |    my0   |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   my0  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   my0  |   SI   |   STP  |   HIP  |   SI   |   STP  |   HIP  |          |          |          |          |          |          |          |          |     |        |        |        |        |     |
|      |        |                    |  h  m   s       |    o  '   "      |   mas/yr  |   mas/yr  |        |   mas  | mas/yr |        |   mas  | mas/yr |   mas  |   mas  |     |  km/s  |        |     |      |     |     |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |   mas    |   mas    |  mas/yr  |  mas/yr  |   mas    |    mas   |  mas/yr  |  mas/yr  |     |        |        |        |        |     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 1068 |  11486 | 12 Tri             |  2 28  9.980413 |  +29 40  9.58386 | -   14.78 | -   86.18 |  91.22 |   0.73 |   0.37 |  91.40 |   0.45 |   0.34 |  21.01 |   0.83 |  H  | - 24.8 |   5.29 |     |  19  |     |  1  | +   3.62 | -   0.09 | -   0.16 | +  13.99 | +   5.57 | +   5.39 | +   5.82 | +  44.41 | +   0.08 | -   0.02 | -   0.03 | +   0.26 | -   0.11 | -   0.15 | +   0.63 | +   0.68 | +   0.42 | -   0.62 |  76.49 |  91.28 |  91.28 |  60.31 |  10.86 |   0.74 |   0.74 |  15.73 |   0.48 |   0.92 |   0.99 |   0.67 |   0.51 |  76.47 |  91.42 |  91.41 |  51.97 |  11.85 |   0.46 |   0.46 |  19.32 |   0.46 |   0.61 |   0.63 |   0.72 |   0.49 |  20.90 |  21.00 |  21.01 |   0.82 |   0.83 |   0.83 | -  21.66 | +   4.35 | -   0.47 | -   1.04 |     8.26 |     7.00 |     0.28 |     0.20 |  1  |   0.37 |   1.62 |   1.82 |   1.27 |  60 |
| 1069 |  11698 | 27 Ari             |  2 30 54.398149 |  +17 42 13.88074 | +   32.64 | -   82.82 |  90.95 |   0.78 |   0.37 |  91.30 |   0.59 |   0.34 |  10.40 |   0.86 |  H  | -117.5 |   6.21 |     |  18  |     |     | -   7.13 | +   2.54 | +   3.35 | -  40.12 | -   0.57 | +   0.52 | +   0.61 | -   3.51 | -   0.16 | +   0.28 | +   0.37 | -   0.71 | +   0.38 | -   0.03 | +   0.06 | +   0.07 | -   0.07 | +   0.00 |  80.58 |  91.02 |  91.02 |  60.03 |   9.59 |   0.78 |   0.78 |  16.43 |   0.44 |   0.81 |   0.88 |   0.62 |   0.53 |  81.26 |  91.34 |  91.34 |  52.10 |  10.19 |   0.59 |   0.59 |  20.16 |   0.43 |   0.63 |   0.66 |   0.64 |   0.51 |  10.40 |  10.40 |  10.40 |   0.85 |   0.86 |   0.86 | -  36.86 | -   5.88 | -   0.78 | -   1.41 |     7.66 |     6.72 |     0.25 |     0.20 |  1  |   1.01 |   0.08 |   0.75 |   1.34 |  61 |
| 1071 |  11783 | sigma Cet          |  2 32  5.233284 |  -15 14 40.66977 | -   72.61 | -  127.74 |  90.91 |   0.54 |   0.32 |  91.22 |   0.57 |   0.33 |  38.73 |   0.87 |  H  | - 29.2 |   4.74 |     |  28  |  2  |     | +   3.81 | -  63.40 | -  72.06 | +  32.83 | +  53.63 | - 154.41 | - 166.73 | +  91.67 | -   0.10 | -   7.33 | -   8.31 | +   0.43 | -   0.27 | +   6.96 | -  17.69 | -  19.10 | +   7.90 | +   7.41 |  73.39 |  90.99 |  90.99 |  53.61 |  12.22 |   0.55 |   0.55 |  17.75 |   0.44 |   0.67 |   0.69 |   0.61 |   0.48 |  74.48 |  91.26 |  91.26 |  45.72 |  13.40 |   0.57 |   0.57 |  22.07 |   0.46 |   0.62 |   0.64 |   0.72 |   0.48 |  33.50 |  38.48 |  38.73 |   0.84 |   0.87 |   0.87 | -  50.80 | -  43.92 | +   1.99 | +   0.04 |     7.77 |     6.76 |     0.27 |     0.20 |     |  28.32 |  33.05 |  31.23 |   1.06 |  62 |
| 1070 |  11784 | 14 Tri             |  2 32  6.169246 |  +36  8 50.14988 | +   46.16 | +   13.30 |  91.32 |   0.61 |   0.33 |  91.48 |   0.47 |   0.36 |   8.33 |   0.84 |  H  | - 35.9 |   5.15 |  1  |  21  |  2  |     | +   0.07 | +  11.92 | +  14.75 | +   3.21 | -   1.98 | +  22.28 | +  26.63 | +  77.66 | -   0.21 | +   1.34 | +   1.66 | -   0.21 | -   0.36 | -   1.04 | +   2.62 | +   3.13 | -   0.09 | -   2.01 |  80.66 |  91.35 |  91.35 |  60.15 |   8.73 |   0.62 |   0.62 |  14.95 |   0.43 |   0.60 |   0.64 |   0.65 |   0.48 |  83.45 |  91.49 |  91.49 |  50.63 |   9.65 |   0.47 |   0.47 |  22.00 |   0.46 |   0.60 |   0.64 |   0.77 |   0.54 |   6.70 |   8.06 |   8.33 |   0.79 |   0.83 |   0.84 | -  40.53 | +  13.45 | +   0.20 | -   0.81 |     8.27 |     6.56 |     0.27 |     0.21 |  1  |   3.62 |   6.34 |   5.48 |   2.06 |     |
|   88 |  11867 | lambda^1 For       |  2 33  7.026477 |  -34 38 59.88083 | -   17.54 | -   17.95 |  91.44 |   0.38 |   0.38 |  91.19 |   0.45 |   0.40 |   8.58 |   0.66 |  H  | + 13.0 |   5.91 |     |  11  |  1  |  3  | -   4.04 | +   0.94 | +   1.11 | -  32.38 | -   1.78 | +   0.08 | +   0.08 | -  32.07 | -   0.33 | +   0.11 | +   0.13 | -   0.86 | -   0.03 | -   0.10 | +   0.01 | +   0.01 | -   0.53 | +   0.15 |  87.49 |  91.43 |  91.43 |  61.37 |  10.17 |   0.38 |   0.38 |  28.61 |   0.70 |   0.44 |   0.45 |   1.13 |   0.95 |  87.62 |  91.20 |  91.20 |  50.73 |  10.38 |   0.45 |   0.45 |  34.70 |   0.66 |   0.49 |   0.51 |   1.12 |   0.86 |   8.56 |   8.57 |   8.58 |   0.65 |   0.66 |   0.66 | -  75.05 | -  30.31 | +   3.47 | -   1.32 |     8.44 |     6.95 |     0.27 |     0.21 |  1  |   0.94 |   0.20 |   2.08 |   0.74 |     |
| 1074 |  12107 | 80 Cet             |  2 36  0.048045 |  - 7 49 53.74704 | -   34.06 | -   58.95 |  91.41 |   0.71 |   0.42 |  91.25 |   0.59 |   0.40 |   6.31 |   0.87 |  H  | + 14.1 |   5.53 |  1  |  15  |  1  |  3  | -   4.10 | +   3.06 | +   3.96 | -  35.90 | +   0.17 | -   2.37 | -   2.76 | -  38.88 | -   0.29 | +   0.38 | +   0.49 | -   0.95 | -   0.09 | +   0.20 | -   0.29 | -   0.34 | -   0.33 | +   0.53 |  85.08 |  91.36 |  91.33 |  59.50 |   8.52 |   0.75 |   0.77 |  19.31 |   0.53 |   0.68 |   0.75 |   0.96 |   0.61 |  85.87 |  91.21 |  91.19 |  49.12 |   8.86 |   0.61 |   0.62 |  24.82 |   0.50 |   0.65 |   0.71 |   0.93 |   0.59 |   6.44 |   6.34 |   6.31 |   0.86 |   0.87 |   0.87 | -  59.39 | -  42.95 | +   1.87 | -   0.22 |     6.92 |     6.32 |     0.26 |     0.17 |  1  |   1.20 |   1.25 |   1.32 |   1.09 |  63 |
|   87 |  12273 | 36 H. Cas          |  2 38  2.032120 |  +72 49  5.70766 | -   28.36 | +   15.35 |  91.20 |   0.37 |   0.26 |  91.19 |   0.42 |   0.27 |  12.73 |   0.54 |  H  | -  2.3 |   5.17 |     |  21  |  2  |     | -  13.00 | -   4.55 | -   4.73 | -  94.86 | +  18.34 | -   1.52 | -   1.69 | + 174.45 | +   0.15 | -   0.52 | -   0.54 | -   0.97 | +   1.11 | +   0.30 | -   0.17 | -   0.19 | +   2.10 | -   0.72 |  76.37 |  91.22 |  91.22 |  49.82 |  10.22 |   0.37 |   0.37 |  17.06 |   0.38 |   0.40 |   0.41 |   0.57 |   0.41 |  75.79 |  91.21 |  91.21 |  35.83 |  10.85 |   0.42 |   0.42 |  20.54 |   0.34 |   0.50 |   0.51 |   0.57 |   0.37 |  12.77 |  12.73 |  12.73 |   0.54 |   0.54 |   0.54 | +  26.18 | +   5.96 | -   0.93 | -   0.95 |    12.58 |    10.78 |     0.42 |     0.30 |  1  |   3.01 |   2.90 |   2.15 |   5.07 |     |
|   91 |  12387 | delta Cet          |  2 39 28.956395 |  + 0 19 42.63178 | +   13.93 | -    3.27 |  90.80 |   0.73 |   0.24 |  91.18 |   0.51 |   0.24 |   5.04 |   0.83 |  H  | + 13.0 |   4.08 |  1  |  19  |     |  1  | -   4.98 | +   2.89 | +   4.83 | -  46.12 | +   1.39 | +   5.12 | +   6.56 | +  28.82 | -   0.08 | +   0.30 | +   0.51 | -   0.69 | +   0.25 | -   0.06 | +   0.58 | +   0.74 | +   0.26 | -   0.22 |  77.21 |  90.92 |  90.91 |  48.22 |   7.03 |   0.74 |   0.75 |  12.34 |   0.28 |   0.79 |   0.94 |   0.46 |   0.29 |  79.48 |  91.20 |  91.19 |  36.03 |   7.57 |   0.52 |   0.53 |  16.41 |   0.28 |   0.60 |   0.66 |   0.54 |   0.30 |   5.09 |   5.07 |   5.04 |   0.81 |   0.83 |   0.83 | -  48.32 | -  30.51 | +   0.86 | -   0.99 |     6.47 |     6.25 |     0.25 |     0.17 |  1  |   1.21 |   1.33 |   0.95 |   1.89 |  64 |
|   95 |  12394 | epsilon Hyi        |  2 39 35.360468 |  -68 16  1.01277 | +   86.84 | -    0.16 |  91.28 |   0.40 |   0.36 |  91.33 |   0.50 |   0.39 |  21.27 |   0.50 |  H  | +  6.0 |   4.12 |     |  31  |     |     | -   1.34 | +   4.50 | +   4.95 | +  55.99 | -   5.33 | +   5.70 | +   6.31 | +  15.00 | -   0.94 | +   0.51 | +   0.56 | -   0.07 | -   1.89 | -   0.84 | +   0.65 | +   0.72 | -   0.65 | -   1.12 |  84.11 |  91.27 |  91.27 |  60.14 |  13.22 |   0.40 |   0.40 |  27.60 |   0.72 |   0.41 |   0.42 |   1.10 |   0.89 |  84.15 |  91.33 |  91.33 |  47.53 |  13.78 |   0.50 |   0.50 |  34.19 |   0.65 |   0.49 |   0.50 |   1.11 |   0.78 |  21.29 |  21.27 |  21.27 |   0.50 |   0.50 |   0.50 | -  21.66 | +  62.92 | -   0.62 | -   1.09 |    10.94 |     8.94 |     0.39 |     0.29 |  1  |   1.23 |   3.11 |   0.86 |   1.33 |     |
| 1075 |  12486 | iota Eri           |  2 40 40.034488 |  -39 51 19.35734 | +  135.26 | -   27.97 |  91.20 |   0.39 |   0.37 |  91.19 |   0.44 |   0.37 |  22.42 |   0.57 |  H  | -  9.3 |   4.11 |     |  11  |  1  |  3  | -   7.45 | -   0.64 | -   0.73 | -  60.52 | -  10.45 | +   5.10 | +   5.54 | -  72.79 | -   0.09 | -   0.08 | -   0.09 | -   0.93 | +   0.74 | -   0.84 | +   0.58 | +   0.63 | -   1.68 | -   0.45 |  83.14 |  91.22 |  91.22 |  59.76 |  13.15 |   0.39 |   0.39 |  25.90 |   0.66 |   0.45 |   0.46 |   0.96 |   0.82 |  83.27 |  91.20 |  91.21 |  43.98 |  13.91 |   0.44 |   0.44 |  33.87 |   0.60 |   0.48 |   0.49 |   0.99 |   0.72 |  22.52 |  22.43 |  22.42 |   0.57 |   0.57 |   0.57 | -  76.14 | -  11.20 | +   3.50 | -   1.95 |     8.83 |     7.55 |     0.28 |     0.22 |  1  |   2.25 |   1.50 |   0.96 |   1.66 |     |
| 1077 |  12768 | 14 Per             |  2 44  5.160729 |  +44 17 49.34069 | +    3.22 | -    6.47 |  91.44 |   0.71 |   0.44 |  91.24 |   0.65 |   0.43 |   4.71 |   0.89 |  H  | -  3.1 |   5.43 |     |  19  |     |  1  | -   0.82 | -   6.33 | -  10.32 | -  35.74 | -   1.12 | +   2.18 | +   3.39 | -  28.13 | +   0.14 | -   0.75 | -   1.22 | -   0.33 | +   0.62 | -   0.07 | +   0.25 | +   0.39 | -   0.48 | +   0.05 |  86.60 |  91.48 |  91.48 |  56.55 |   7.70 |   0.71 |   0.71 |  20.88 |   0.49 |   0.83 |   1.00 |   0.83 |   0.60 |  87.34 |  91.26 |  91.26 |  46.07 |   7.91 |   0.65 |   0.65 |  26.89 |   0.49 |   0.76 |   0.89 |   0.91 |   0.60 |   5.03 |   4.83 |   4.71 |   0.86 |   0.88 |   0.89 | -  42.75 | +  30.21 | +   0.76 | -   0.45 |     9.96 |     6.81 |     0.27 |     0.20 |  1  |   0.96 |   1.61 |   1.62 |   1.05 |  65 |
|   97 |  12770 | pi Cet             |  2 44  7.348771 |  -13 51 31.35543 | -    9.30 | -   13.91 |  91.27 |   0.66 |   0.32 |  91.21 |   0.53 |   0.33 |   7.40 |   0.85 |  H  | + 15.4 |   4.24 |     |  29  |  2  |     | -   0.38 | +  11.51 | +  16.44 | -  25.49 | -   8.96 | +  40.37 | +  48.55 | +  30.64 | +   0.03 | +   1.18 | +   1.72 | -   0.35 | +   0.22 | -   1.67 | +   4.59 | +   5.51 | -   1.46 | -   2.36 |  80.96 |  91.30 |  91.29 |  49.27 |   8.86 |   0.68 |   0.68 |  17.90 |   0.37 |   0.75 |   0.83 |   0.58 |   0.43 |  83.26 |  91.19 |  91.18 |  42.72 |   9.32 |   0.55 |   0.56 |  22.98 |   0.41 |   0.60 |   0.64 |   0.71 |   0.47 |   7.82 |   7.54 |   7.40 |   0.82 |   0.84 |   0.85 | -  47.30 | -  43.69 | +   2.08 | -   0.03 |     7.98 |     6.52 |     0.26 |     0.19 |     |   7.39 |   9.90 |   9.19 |   1.32 |  66 |
| 1079 |  13327 | sigma Ari          |  2 51 29.586046 |  +15  4 55.44565 | +   29.99 | -   24.27 |  90.86 |   0.68 |   0.29 |  91.27 |   0.51 |   0.26 |   6.80 |   0.89 |  H  | + 17.0 |   5.52 |     |  39  |     |     | +  11.40 | +   8.34 | +  11.43 | +  80.93 | -   0.95 | +   6.91 | +   8.70 | -   5.83 | +   0.10 | +   0.93 | +   1.27 | +   1.02 | -   0.80 | -   0.13 | +   0.78 | +   0.98 | -   0.22 | -   0.14 |  79.53 |  90.94 |  90.94 |  51.45 |   8.26 |   0.68 |   0.68 |  15.26 |   0.33 |   0.82 |   0.95 |   0.48 |   0.39 |  79.16 |  91.25 |  91.23 |  41.46 |   8.54 |   0.53 |   0.53 |  17.33 |   0.32 |   0.58 |   0.63 |   0.55 |   0.35 |   7.17 |   6.91 |   6.80 |   0.81 |   0.87 |   0.89 | -  15.38 | -   8.47 | -   0.45 | -   1.41 |     7.93 |     6.47 |     0.24 |     0.20 |  1  |   1.44 |   2.26 |   1.65 |   2.94 |  67 |
|  104 |  13701 | eta Eri            |  2 56 25.649869 |  - 8 53 53.31188 | +   78.02 | -  219.05 |  91.15 |   0.57 |   0.24 |  91.29 |   0.51 |   0.25 |  24.49 |   0.72 |  H  | - 20.3 |   3.89 |     |  11  |  1  |  3  | -   4.98 | -   2.39 | -   2.76 | -  15.66 | -   4.93 | -   7.65 | -   8.18 | -  35.33 | -   0.09 | -   0.25 | -   0.29 | -   0.24 | +   0.07 | +   0.12 | -   0.88 | -   0.94 | -   0.23 | +   0.38 |  67.03 |  91.15 |  91.14 |  48.12 |  10.32 |   0.59 |   0.59 |  13.78 |   0.33 |   0.64 |   0.66 |   0.46 |   0.32 |  68.20 |  91.25 |  91.25 |  36.59 |  11.85 |   0.52 |   0.52 |  18.25 |   0.34 |   0.61 |   0.63 |   0.54 |   0.33 |  24.50 |  24.49 |  24.49 |   0.71 |   0.72 |   0.72 | -  51.07 | -  41.66 | +   1.65 | -   0.22 |     7.00 |     6.26 |     0.25 |     0.17 |  1  |   0.88 |   1.86 |   2.00 |   1.11 |     |
| 1080 |  13717 | 40 G. Eri          |  2 56 37.423957 |  - 3 42 44.35901 | -   36.25 | -   44.15 |  90.94 |   0.92 |   0.58 |  91.06 |   0.66 |   0.54 |  17.28 |   0.93 |  H  | - 15.0 |   5.16 |     |  19  |     |  1  | -   0.13 | +   3.53 | +   4.42 | +   6.97 | +   2.38 | +   6.47 | +   7.45 | +  67.49 | -   0.18 | +   0.40 | +   0.50 | -   0.06 | -   0.33 | -   0.45 | +   0.73 | +   0.84 | +   0.72 | -   1.29 |  81.62 |  90.99 |  90.98 |  63.81 |  11.49 |   0.92 |   0.92 |  19.48 |   0.68 |   1.71 |   2.53 |   1.14 |   0.72 |  83.69 |  91.06 |  91.06 |  60.69 |  12.33 |   0.66 |   0.66 |  24.82 |   0.72 |   1.02 |   1.35 |   1.26 |   0.82 |  17.40 |  17.29 |  17.28 |   0.91 |   0.92 |   0.93 | -  48.54 | -  29.64 | +   1.13 | -   0.57 |     6.62 |     6.02 |     0.25 |     0.17 |  1  |   0.28 |   2.05 |   0.66 |   1.35 |  68 |
| 1081 |  13834 | 47 Ari             |  2 58  5.221326 |  +20 40  7.44492 | +  234.43 | -   31.04 |  91.09 |   0.69 |   0.33 |  91.23 |   0.58 |   0.34 |  31.41 |   0.84 |  H  | + 28.1 |   5.80 |     |  31  |     |     | -   4.86 | +   2.96 | +   3.12 | -  16.01 | +  23.34 | -   4.77 | -   5.20 | + 118.07 | -   0.19 | +   0.34 | +   0.36 | -   0.38 | -   0.01 | +   0.54 | -   0.55 | -   0.60 | +   1.88 | -   0.60 |  73.53 |  91.13 |  91.13 |  56.22 |  11.51 |   0.69 |   0.69 |  16.18 |   0.44 |   0.80 |   0.84 |   0.61 |   0.46 |  74.98 |  91.21 |  91.21 |  50.33 |  12.70 |   0.59 |   0.59 |  20.14 |   0.45 |   0.68 |   0.70 |   0.67 |   0.49 |  31.50 |  31.42 |  31.41 |   0.82 |   0.84 |   0.84 | -  18.12 | -   0.13 | -   1.08 | -   1.44 |     7.89 |     6.67 |     0.24 |     0.20 |  1  |   2.86 |   0.40 |   0.15 |   3.03 |     |
| 1082 |  13905 | 24 Per             |  2 59  3.676577 |  +35 10 59.26625 | -   46.52 | +    6.32 |  91.17 |   0.64 |   0.39 |  91.19 |   0.52 |   0.41 |   9.31 |   0.78 |  H  | - 36.0 |   4.94 |     |  11  |  1  |  3  | +   1.50 | +   0.31 | +   0.22 | +  17.17 | +   2.49 | -   3.77 | -   4.47 | -   3.11 | -   0.08 | +   0.04 | +   0.03 | +   0.26 | -   0.35 | +   0.42 | -   0.43 | -   0.51 | +   0.38 | +   0.60 |  82.89 |  91.21 |  91.21 |  66.69 |   9.16 |   0.64 |   0.64 |  15.70 |   0.57 |   0.56 |   0.59 |   0.92 |   0.64 |  84.70 |  91.21 |  91.22 |  61.52 |   9.95 |   0.52 |   0.52 |  21.22 |   0.59 |   0.57 |   0.60 |   0.96 |   0.71 |   9.40 |   9.32 |   9.31 |   0.77 |   0.78 |   0.78 | -  26.27 | +  17.34 | +   0.04 | -   0.80 |     8.81 |     6.61 |     0.25 |     0.21 |  1  |   0.80 |   1.33 |   1.21 |   0.57 |     |
| 1083 |  13954 | lambda Cet         |  2 59 42.899264 |  + 8 54 26.51606 | +    5.14 | -   14.57 |  90.85 |   0.65 |   0.37 |  91.35 |   0.45 |   0.35 |   7.69 |   0.76 |  H  | + 10.2 |   4.71 |     |  21  |  2  |     | -   8.14 | +  29.85 | +  37.13 | -  35.95 | +  13.32 | -   3.21 | -   2.61 | + 101.76 | -   1.08 | +   3.28 | +   4.08 | -   1.80 | -   1.15 | +   0.80 | -   0.41 | -   0.35 | +   2.15 | +   0.02 |  81.80 |  90.91 |  90.91 |  60.92 |   8.62 |   0.65 |   0.65 |  15.48 |   0.45 |   0.71 |   0.77 |   0.72 |   0.52 |  83.64 |  91.35 |  91.34 |  52.52 |   9.29 |   0.46 |   0.46 |  20.96 |   0.45 |   0.56 |   0.59 |   0.73 |   0.54 |   8.91 |   7.90 |   7.69 |   0.74 |   0.76 |   0.76 | -  16.54 | -  32.93 | +   0.96 | -   1.48 |     7.26 |     6.24 |     0.26 |     0.17 |  1  |   6.57 |   5.83 |   6.24 |   2.45 |     |
| 1084 |  14117 | -18^o 516 Eri      |  3  2  2.508455 |  -18 12 27.89837 | -   38.79 | -   35.07 |  91.58 |   0.73 |   0.55 |  91.37 |   0.55 |   0.55 |   9.62 |   1.07 |  H  | -  2.6 |   7.54 |     |  13  |     |     | -   0.83 | -   2.17 | -   3.10 | -  17.82 | -   5.05 | -   2.36 | -   3.07 | - 172.71 | +   0.04 | -   0.25 | -   0.36 | -   0.24 | +   0.24 | +   0.02 | -   0.27 | -   0.35 | -   2.61 | +   1.08 |  85.45 |  91.60 |  91.60 |  58.80 |  10.36 |   0.75 |   0.75 |  24.33 |   0.64 |   1.02 |   1.18 |   1.13 |   0.74 |  86.36 |  91.37 |  91.37 |  50.72 |  10.72 |   0.58 |   0.59 |  30.77 |   0.66 |   0.89 |   0.99 |   1.31 |   0.76 |   9.47 |   9.58 |   9.62 |   1.02 |   1.06 |   1.07 | -  46.19 | -  32.97 | +   1.70 | +   0.08 |     8.18 |     6.85 |     0.24 |     0.20 |  1  |   1.38 |   1.21 |   1.62 |   2.47 |  69 |
|  107 |  14135 | alpha Cet          |  3  2 16.773198 |  + 4  5 23.06212 | -   10.10 | -   76.53 |  90.77 |   0.71 |   0.21 |  91.08 |   0.57 |   0.20 |  14.82 |   0.83 |  H  | - 26.1 |   2.54 |  1  |  23  |  2  |     | +   1.59 | -  12.94 | -  15.49 | +   9.38 | -   4.44 | -  17.90 | -  19.87 | -  28.97 | +   0.06 | -   1.43 | -   1.71 | +   0.17 | +   0.01 | +   0.13 | -   2.01 | -   2.23 | -   0.11 | +   0.32 |  65.38 |  90.92 |  90.92 |  42.48 |   9.26 |   0.72 |   0.72 |  12.72 |   0.27 |   0.81 |   0.87 |   0.40 |   0.26 |  63.91 |  91.13 |  91.13 |  26.60 |  10.26 |   0.57 |   0.57 |  15.77 |   0.25 |   0.62 |   0.65 |   0.40 |   0.24 |  14.10 |  14.74 |  14.82 |   0.81 |   0.83 |   0.83 | -  37.64 | -  34.33 | +   0.50 | -   1.36 |     7.00 |     6.00 |     0.26 |     0.18 |  1  |   3.11 |   3.81 |   5.02 |   0.97 |  70 |
| 1085 |  14146 | tau^3 Eri          |  3  2 23.499540 |  -23 37 28.09697 | -  146.95 | -   55.64 |  90.92 |   0.48 |   0.33 |  91.09 |   0.46 |   0.34 |  37.85 |   0.69 |  H  | -  9.8 |   4.08 |     |  39  |     |     | -   1.81 | +   8.49 | +   8.95 | +   8.17 | +  17.10 | -   0.91 | -   1.00 | + 136.66 | -   0.57 | +   0.94 | +   0.99 | -   0.46 | -   0.77 | +   0.44 | -   0.11 | -   0.12 | +   1.95 | -   0.47 |  75.24 |  90.95 |  90.95 |  50.69 |  13.08 |   0.48 |   0.48 |  20.82 |   0.48 |   0.53 |   0.54 |   0.71 |   0.52 |  76.74 |  91.10 |  91.10 |  41.90 |  14.12 |   0.46 |   0.46 |  26.05 |   0.49 |   0.54 |   0.55 |   0.80 |   0.53 |  37.68 |  37.84 |  37.85 |   0.67 |   0.69 |   0.69 | -  42.27 | -  29.18 | +   2.70 | -   0.01 |     7.95 |     7.16 |     0.25 |     0.21 |  1  |   2.82 |   2.35 |   3.10 |   2.55 |  71 |
| 1086 |  14187 | 58 G. Eri          |  3  2 55.862794 |  -46 58 30.12801 | +   24.70 | +    2.75 |  91.29 |   0.47 |   0.45 |  91.08 |   0.42 |   0.42 |   3.97 |   0.56 |  H  | + 16.0 |   5.81 |     |  38  |     |     | -   0.74 | +   0.37 | +   0.62 | -  26.39 | +   6.04 | -   1.97 | -   2.95 | + 195.15 | -   0.02 | +   0.04 | +   0.07 | -   0.49 | +   0.25 | +   0.43 | -   0.22 | -   0.33 | +   3.35 | -   0.86 |  89.16 |  91.30 |  91.30 |  61.44 |   7.34 |   0.47 |   0.47 |  27.70 |   0.66 |   0.54 |   0.58 |   1.20 |   0.93 |  89.42 |  91.09 |  91.09 |  51.80 |   7.43 |   0.42 |   0.42 |  34.71 |   0.64 |   0.50 |   0.53 |   1.22 |   0.88 |   3.89 |   3.94 |   3.97 |   0.55 |   0.56 |   0.56 | -  48.21 | +  29.60 | +   4.55 | -   2.90 |    10.13 |     6.99 |     0.26 |     0.21 |  1  |   2.79 |   0.53 |   1.86 |   2.83 |  72 |
